,#Samples,Akkuranz,Präzision,Recall,F1
xray:,5744,96.47%,0.9934,0.9647,0.9788
xray_fluoroskopie_angiographie:,339,93.22%,0.8564,0.9322,0.8927
us:,2567,99.92%,0.9304,0.9992,0.9636
mrt_hirn_flair:,3,0.00%,0.0000,0.0000,0.0000
mrt_hirn_t1:,149,44.97%,0.4351,0.4497,0.4422
mrt_hirn_t2:,150,96.00%,0.4706,0.9600,0.6316
mrt_hirn_t1_c:,175,18.29%,0.4507,0.1829,0.2602
mrt_prostata_t1:,1,0.00%,0.0000,0.0000,0.0000
mrt_prostata_t2:,162,100.00%,0.7826,1.0000,0.8780
ct:,10227,98.83%,0.8822,0.9883,0.9323
ct_kombimodalitaet_spect+ct_pet+ct:,43935,96.67%,0.9981,0.9667,0.9821
